,Mkt-RF,SMB,HML,RF
19990920,0,-0.02,-0.62,0.018
19990921,-1.93,0.63,0.17,0.018
19990922,0.29,0.15,-0.87,0.018
19990923,-2.35,0.45,0.88,0.018
19990924,-0.19,-0.3,-0.42,0.018
19990927,0.42,0.51,-0.26,0.018
19990928,-0.23,0,-0.91,0.018
19990929,-0.8,0.77,0.43,0.018
19990930,0.92,0.48,-0.99,0.018
19991001,-0.16,-0.17,-0.15,0.018
19991004,1.66,-1.13,-0.61,0.018
19991005,-0.09,0.07,-0.45,0.018
19991006,1.82,-1.18,-0.48,0.018
19991007,-0.47,0.32,-0.28,0.018
19991008,1.09,-0.67,-0.77,0.018
19991011,0.21,0.1,0.22,0.018
19991012,-1.72,0.34,0.67,0.018
19991013,-2.04,0.35,1.19,0.018
19991014,-0.02,-0.32,0.04,0.018
19991015,-2.65,1.57,0.45,0.018
19991018,0.09,-1.32,-0.03,0.018
19991019,0.76,-0.06,-0.88,0.018
19991020,1.86,-0.65,-1.29,0.018
19991021,-0.16,0.33,-0.39,0.018
19991022,1.31,-1.07,0.67,0.018
19991025,-0.43,0.25,0.1,0.018
19991026,-0.85,0.69,0,0.018
19991027,0.89,-1.06,-0.09,0.018
19991028,3.32,-2.15,-0.73,0.018
19991029,1.73,-0.99,-0.47,0.018
19991101,-0.38,1.04,-0.1,0.017
19991102,-0.33,0.09,0.68,0.017
19991103,0.69,1.06,-0.7,0.017
19991104,0.66,-0.19,-0.47,0.017
19991105,0.79,-0.44,-0.26,0.017
19991108,0.59,0.56,-0.73,0.017
19991109,-0.78,1.19,0.13,0.017
19991110,0.53,0.52,-0.74,0.017
19991111,0.37,-0.02,-0.58,0.017
19991112,1.1,-0.76,-0.09,0.017
19991115,0.03,0.71,0.42,0.017
19991116,1.84,-0.85,-0.51,0.017
19991117,-0.63,0.89,0.21,0.017
19991118,1.13,0.64,-1.32,0.017
19991119,-0.11,0.24,-0.28,0.017
19991122,0.02,0.56,-1.42,0.017
19991123,-1.29,0.28,-0.04,0.017
19991124,0.87,-0.07,-0.76,0.017
19991126,0.23,0.86,-0.12,0.017
19991129,-0.6,0.81,-0.55,0.017
19991130,-1.28,-0.23,1.51,0.017
19991201,0.49,-0.11,-0.3,0.02
19991202,1.15,0.49,-0.89,0.02
19991203,1.59,-0.89,-0.82,0.02
19991206,-0.42,0.89,-0.61,0.02
19991207,-0.43,0.89,-0.92,0.02
19991208,-0.08,0.9,-0.41,0.02
19991209,0.3,-0.26,-0.49,0.02
19991210,0.51,0.58,-0.75,0.02
19991213,0.05,1.1,-0.71,0.02
19991214,-1.33,-0.43,1.19,0.02
19991215,0.54,-1.02,0.1,0.02
19991216,0.61,0.57,-0.83,0.02
19991217,0.27,-0.15,-0.07,0.02
19991220,-0.08,0.67,-0.77,0.02
19991221,1.44,-0.05,-0.26,0.02
19991222,0.33,0.14,-0.3,0.02
19991223,1.3,-0.42,-0.42,0.02
19991227,-0.21,0.8,-0.66,0.02
19991228,0.21,0.37,-0.07,0.02
19991229,0.64,0.94,0.02,0.02
19991230,0.08,0.09,-0.04,0.02
19991231,0.52,1.3,0.48,0.02
20000103,-0.71,0.62,-1.41,0.021
20000104,-4.06,0,2.06,0.021
20000105,-0.09,0.2,0.16,0.021
20000106,-0.73,-0.43,1.26,0.021
20000107,3.21,-0.48,-1.42,0.021
20000110,1.76,0.96,-1.52,0.021
20000111,-1.71,0.24,0.81,0.021
20000112,-0.69,-0.49,0.78,0.021
20000113,1.59,0.72,-0.91,0.021
20000114,1.15,0.36,-0.65,0.021
20000118,-0.26,2.55,-0.48,0.021
20000119,0.44,0.79,-0.36,0.021
20000120,-0.37,1.96,-1.23,0.021
20000121,0.23,1.54,-0.52,0.021
20000124,-2.59,1.14,0.74,0.021
20000125,0.49,-0.56,-0.09,0.021
20000126,-0.44,-0.05,0.09,0.021
20000127,-0.44,0.03,-0.69,0.021
20000128,-2.82,-0.26,1.64,0.021
20000131,1.5,-2.91,-0.44,0.021
20000201,1.29,0.03,-0.09,0.022
20000202,0.16,1.46,-0.22,0.022
20000203,1.49,1.26,-1.29,0.022
20000204,-0.05,1.13,-0.62,0.022
20000207,0.35,1.5,-1.19,0.022
20000208,1.23,0.61,-1.74,0.022
20000209,-1.83,2.02,-0.41,0.022
20000210,0.57,1.25,-0.55,0.022
20000211,-1.74,0.88,0.93,0.022
20000214,0.24,0.84,-0.15,0.022
20000215,0.7,-0.58,0.03,0.022
20000216,-0.58,2,-0.56,0.022
20000217,0.46,2.03,-1.25,0.022
20000218,-2.69,1.24,0.5,0.022
20000222,0.11,-1.15,0.4,0.022
20000223,1.24,0.81,-1.45,0.022
20000224,0.01,1.03,-0.55,0.022
20000225,-1.04,1.89,-0.14,0.022
20000228,0.76,-0.12,-0.04,0.022
20000229,1.96,1.54,-0.09,0.022
20000301,1.39,0.88,-0.37,0.02
20000302,-0.09,-0.23,0.6,0.02
20000303,2.3,0.12,-1.21,0.02
20000306,-0.77,1.57,0.32,0.02
20000307,-2.2,0.6,0.93,0.02
20000308,0.69,-0.31,-0.8,0.02
20000309,2.45,-0.35,-0.36,0.02
20000310,-0.43,0.27,0.12,0.02
20000313,-1.48,-1.04,0.94,0.02
20000314,-2.33,-1.15,1.19,0.02
20000315,0.83,-4.67,1.01,0.02
20000316,4.25,-3.58,0.19,0.02
20000317,0.62,0.44,-0.23,0.02
20000320,-1.71,-2.85,2.25,0.02
20000321,1.95,-2.28,-0.37,0.02
20000322,1.31,2.27,-1.08,0.02
20000323,1.48,-0.78,-0.14,0.02
20000324,0.11,-0.4,0.2,0.02
20000327,-0.39,0.35,-0.44,0.02
20000328,-1.34,-1.28,1.04,0.02
20000329,-1,-2.57,2.26,0.02
20000330,-1.76,-1.94,1.56,0.02
20000331,1.19,0.09,0.27,0.02
20000403,-1.67,-3.69,1.7,0.024
20000404,-1.2,-1.64,0.11,0.024
20000405,0.01,1.42,-0.92,0.024
20000406,1.47,1.47,-0.39,0.024
20000407,1.42,1.44,-0.16,0.024
20000410,-1.95,-3.18,1.68,0.024
20000411,-1.01,-2.13,1.9,0.024
20000412,-2.97,-2.58,2.54,0.024
20000413,-1.8,-0.31,0.94,0.024
20000414,-6.72,-1.28,2.16,0.024
20000417,2.94,-1.63,-1.66,0.024
20000418,3.84,3.33,-2.43,0.024
20000419,-0.8,1.59,-0.04,0.024
20000420,0.09,-1.12,0.99,0.024
20000424,-1.01,-2.31,1.1,0.024
20000425,3.74,0.33,-0.89,0.024
20000426,-1.23,0.37,1.13,0.024
20000427,0.76,1.26,-0.5,0.024
20000428,0.07,2.23,0.08,0.024
20000501,1.4,1.13,-1.04,0.023
20000502,-2.07,-1.05,1.67,0.023
20000503,-2.09,0.33,-0.37,0.023
20000504,0,0.65,0.34,0.023
20000505,1.48,0.67,-0.44,0.023
20000508,-0.98,-1.65,1.42,0.023
20000509,-1.19,-0.8,0.59,0.023
20000510,-2.7,-1.04,0.93,0.023
20000511,2.08,0.12,0.2,0.023
20000512,0.81,-0.58,0.37,0.023
